cod_familiar;faixa_renda;loteamento;qtd_pessoas;renda_total_declarada;renda_per_capita
20319549704;3 a 5 SM;NUCLEO SANTA ISABEL;2.0;5820;2910.0
6019080587;3 a 5 SM;JARDIM NOSSA SENHORA AUXILIADORA;2.0;5812;2906.0
6137544508;3 a 5 SM;JARDIM CAMPOS VERDES;2.0;5812;2906.0
6811538147;3 a 5 SM;NOVO ANGULO;2.0;5804;2902.0
20190837101;3 a 5 SM;JARDIM NOVO ANGULO;2.0;5804;2902.0
6939333134;3 a 5 SM;JARDIM AMANDA 2;2.0;5800;2900.0
6597095111;3 a 5 SM;RESIDENCIAL JOAO LUIZ;2.0;5794;2897.0
7176933090;3 a 5 SM;JD MIRANTE DE SUMARE;2.0;5794;2897.0
8546444072;3 a 5 SM;JARDIM AMANDA;2.0;5790;2895.0
8121797659;3 a 5 SM;JARDIM SAO BENTO;2.0;5788;2894.0
7051709933;3 a 5 SM;RESIDENCIAL JOAO LUIZ;2.0;5774;2887.0
8166687950;3 a 5 SM;JARDIM NOVA AMERICA;2.0;5764;2882.0
8379872614;3 a 5 SM;JARDIM AMANDA 2;2.0;5764;2882.0
5870955807;3 a 5 SM;JARDIM AMANDA;2.0;5762;2881.0
7810822934;3 a 5 SM;JARDIM SANTA CLARA DO LAGO;2.0;5746;2873.0
4163686118;3 a 5 SM;JARDIM BOA ESPERANCA;2.0;5745;2872.5
8540154773;3 a 5 SM;JARDIM AMANDA;2.0;5744;2872.0
8154862948;3 a 5 SM;JARDIM AMANDA;2.0;5742;2871.0
7257137803;3 a 5 SM;JARDIM AMANDA;2.0;5734;2867.0
8612204470;3 a 5 SM;JARDIM AMANDA;2.0;5730;2865.0
7602996259;3 a 5 SM;JARDIM SANTA CLARA DO LAGO;2.0;5725;2862.5
5449039786;3 a 5 SM;JARDIM NOVA HORTOLANDIA;2.0;5718;2859.0
7720711602;3 a 5 SM;PARQUE DOS PINHEIROS;2.0;5716;2858.0
6352684505;3 a 5 SM;JARDIM NOVO ANGULO;2.0;5704;2852.0
8092311072;3 a 5 SM;JARDIM AUXILIADORA;2.0;5700;2850.0
8774066935;3 a 5 SM;JARDIM ADELAIDE;2.0;5694;2847.0
8512062045;3 a 5 SM;PARQUE DO HORTO;2.0;5684;2842.0
6757806088;3 a 5 SM;JARDIM SUMAREZINHO;2.0;5683;2841.5
8291904308;3 a 5 SM;JARDIM ADELAIDE;2.0;5678;2839.0
6554261320;3 a 5 SM;JARDIM SANTA ESMERALDA;2.0;5670;2835.0
4887171404;3 a 5 SM;JARDIM ADELAIDE;2.0;5634;2817.0
7785314900;3 a 5 SM;REMANSO CAMPINEIRO;2.0;5628;2814.0
7372857376;3 a 5 SM;JARDIM AMANDA;2.0;5613;2806.5
7363762163;3 a 5 SM;JARDIM NOSSA SENHORA DE FATIMA;2.0;5604;2802.0
8196508700;3 a 5 SM;JARDIM AMANDA I;2.0;5598;2799.0
8328977958;3 a 5 SM;PARQUE ORTOLANDIA;2.0;5598;2799.0
20219308314;3 a 5 SM;JARDIM RICARDO;2.0;5594;2797.0
6127409357;3 a 5 SM;JARDIM SANTA IZABEL;2.0;5592;2796.0
8424201426;3 a 5 SM;JARDIM MALTA;2.0;5592;2796.0
7522237475;3 a 5 SM;JARDIM AMANDA;2.0;5586;2793.0
8038270240;3 a 5 SM;JARDIM NOVA AMERICA;2.0;5586;2793.0
8548491493;3 a 5 SM;JARDIM SAO SEBASTIAO;2.0;5578;2789.0
1951983521;3 a 5 SM;PARQUE DO HORTO;2.0;5550;2775.0
6072664903;3 a 5 SM;PARQUE RESIDENCIAL JOAO LUIZ;2.0;5550;2775.0
1862985790;3 a 5 SM;JARDIM NOVO ANGULO;2.0;5544;2772.0
8134112382;3 a 5 SM;JARDIM NOVA AMERICA;2.0;5542;2771.0
5205491558;3 a 5 SM;RESIDENCIAL JOAO LUIZ;2.0;5538;2769.0
7908057233;3 a 5 SM;JARDIM MIRANTE;2.0;5536;2768.0
8677588051;3 a 5 SM;JARDIM AMANDA II;2.0;5536;2768.0
6830239265;3 a 5 SM;JARDIM INTERLAGOS;2.0;5534;2767.0
8550727849;3 a 5 SM;PARQUE DO HORTO;2.0;5534;2767.0
8172610017;3 a 5 SM;JARDIM AMANDA 1;2.0;5526;2763.0
7149210929;3 a 5 SM;JARDIM SAO SEBASTIAO;2.0;5524;2762.0
8735802308;3 a 5 SM;VILA REAL;2.0;5516;2758.0
5644758583;3 a 5 SM;JARDIM ADELAIDE;2.0;5510;2755.0
8258241842;3 a 5 SM;JARDIM AMANDA 1;2.0;5498;2749.0
6727151040;3 a 5 SM;JARDIM AMANDA;2.0;5480;2740.0
7436785834;3 a 5 SM;JARDIM SANTA CLARA DO LAGO;2.0;5480;2740.0
8193592468;3 a 5 SM;JARDIM SANTA AMELIA;2.0;5478;2739.0
7952577247;3 a 5 SM;JARDIM AMANDA;2.0;5476;2738.0
1487967020;3 a 5 SM;JARDIM AMANDA;2.0;5472;2736.0
6931743317;3 a 5 SM;RESIDENCIAL JOAO LUIZ;2.0;5472;2736.0
4635071189;3 a 5 SM;VILA SAO PEDRO;2.0;5470;2735.0
6903288007;3 a 5 SM;JARDIM ADELAIDE;2.0;5470;2735.0
8058183245;3 a 5 SM;JARDIM NOVA HORTOLANDIA;2.0;5470;2735.0
8521486588;3 a 5 SM;JARDIM BOA ESPERANCA;2.0;5470;2735.0
7972627177;3 a 5 SM;JARDIM SANTA IZABEL;2.0;5468;2734.0
7441433223;3 a 5 SM;JARDIM AUXILIADORA;2.0;5466;2733.0
6179115338;3 a 5 SM;JARDIM NOVO ANGULO;2.0;5464;2732.0
8261004066;3 a 5 SM;CHACARAS ASSAY;2.0;5464;2732.0
5585320203;3 a 5 SM;PARQUE ORESTE ONGARO;2.0;5462;2731.0
20232333483;3 a 5 SM;JARDIM SAO SEBASTIAO;2.0;5452;2726.0
7579094851;3 a 5 SM;JARDIM VILLAGIO GHIRALDELLI;2.0;5434;2717.0
