cod_familiar;loteamento;qtd_pessoas;renda_per_capita;score_vulnerab;D1_renda;D2_analfab;D3_idoso_desprot;D4_pcd_sem_apoio;D5_crianca_0_6;meses_desatual;cadastro_vencido_2anos
6758956342;JARDIM RICARDO;1.0;0.0;3;1;1;1;0;0;26;1
6815664341;PARQUE ORESTES ONGARO;1.0;0.0;3;1;1;0;1;0;27;1
6826558483;JARDIM BOA ESPERANCA;1.0;0.0;3;1;1;0;0;1;27;1
6859796529;JARDIM NOSSA SENHORA DE FATIMA;1.0;0.0;3;1;1;1;0;0;27;1
7028160190;JARDIM EVEREST;1.0;0.0;3;1;0;1;1;0;27;1
7208465878;JARDIM DO LADO;1.0;0.0;3;1;0;1;1;0;28;1
7234630341;JARDIM SANTA LUZIA;1.0;0.0;3;1;1;0;1;0;28;1
7250954237;JARDIM SAO BENTO;1.0;0.0;3;1;0;1;1;0;28;1
7275440202;JARDIM AUXILIADORA;1.0;0.0;3;1;1;1;0;0;27;1
7283190392;JARDIM SANTIAGO;1.0;0.0;3;1;1;1;0;0;29;1
7555355108;PARQUE ORTOLANDIA;1.0;0.0;3;1;0;1;1;0;28;1
7556982076;JARDIM SANTA FE;1.0;0.0;3;1;0;1;1;0;27;1
7764210692;JARDIM NOVO ANGULO;1.0;0.0;3;1;1;1;0;0;28;1
7766985918;VILA FLORA;1.0;0.0;3;1;1;1;0;0;26;1
7954477363;JARDIM NOSSA SENHORA AUXILIADORA;1.0;0.0;3;1;1;1;0;0;27;1
8016409202;JARDIM AMANDA;1.0;0.0;3;1;0;1;1;0;25;1
8031800049;VILA GUEDES;1.0;0.0;3;1;1;1;0;0;27;1
8064948592;JARDIM BRASIL;1.0;0.0;3;1;1;1;0;0;26;1
